ID,hashtag
682718138727809024,leaveEU
682718138727809024,Brexit
682718899519893504,LeaveEU
682718899519893504,EUref
682718899519893504,EUreferendum
682718899519893504,Brexit
682720118401581056,Brexit
682721275182071808,blackfriday
682721275182071808,MacysParade
682721275182071808,Breaking
682721275182071808,indiedev
682721275182071808,BlackFriday
682721275182071808,Amazon
682721275182071808,ad
682721932207353856,Brexit
682735615448903680,brexit
682722402560774144,LeaveEU31stJan
682722402560774144,EU
682722402560774144,VoteLeaveEU
682722402560774144,Brexit
682722402560774144,gamechanger
682744570485051392,LeaveEU
682744570485051392,Brexit
682762435330195456,nomoremigrants
682762435330195456,Brexit
682763726320091136,LeMonde
682763726320091136,europe
682767059823030272,Brexit
682769629803057152,Finances
682769629803057152,Matières
682771086077870080,lemonde
682771092948189184,Newsekt
682771114137800704,nouvelles
682771114137800704,LeMonde
682771131208568832,ALaUne
682771901186359296,news
682772432286035968,no2eu
682772432286035968,brexit
682772432286035968,ukip
682774301158674432,News
682777449126428672,GoogleAlerts
682798479870160896,Brexit
682798479870160896,Brexin
682798479870160896,2016Watch
682819241569943552,Europe
682819241569943552,LeMonde
682819684903813120,Brexit
682825551019642880,Power_By_4RealEze
682844861859508224,Finances
682844861859508224,Matières
682852248322502656,Money
682852248322502656,Business
682837980575346688,Brexit
682838731531878400,Europe
682838731531878400,politics
682838731531878400,refugeecrisis
682838731531878400,Brexit
682838731531878400,EU
682839113066754048,sky
682839113066754048,Brexit
682839113066754048,leave
682840626652659712,CorbynWasRight
682840626652659712,Hello2016
682840626652659712,GoodbyeEU
682840626652659712,Brexit
682840626652659712,no2EU
682841476624179200,Brexit
682842536004726784,EUref
682842536004726784,Brexit
682842536004726784,eu
682842536004726784,euref
682842927291363328,RockMusic
682842927291363328,ClimateEmergency
682842927291363328,LeaveEU
682842927291363328,brexit
682843202068606976,brexit
682844464382119936,RockMusic
682844464382119936,ClimateEmergency
682844464382119936,brexit
682859714426847232,Nieuws
682859714426847232,Nederland
682846166602649600,brexit
682846407611514880,Brexit
682847814007783424,RockMusic
682847814007783424,ClimateEmergency
682847814007783424,brexit
682849270496649216,Brexit
682850849928966144,Brexit
682850948742516736,brexit
682850948742516736,VoteLeave
682850948742516736,EUref
682850948742516736,StopTheEU
682851486976610304,brexit
682852000015478784,Brexit
682867367764979712,Brexit
682852950373445632,Brexit
682853061916790784,brexit
682854609908568064,EU
682854609908568064,Brexit
682854680079298560,RockMusic
682854680079298560,ClimateEmergency
682854680079298560,brexit
682856140737277952,Brexit
682856457105240064,Brexit
682856457105240064,LeaveEU
682856526650961920,PeoplesProrogue
682856526650961920,Brexit
682856526650961920,winning
682856711414247424,brexit
682857572769132544,LeaveEU
682857572769132544,Brexit
682858355224915968,Brexit
682874253453164544,FutureWorldNews
682874808305070080,Nieuws
682874808305070080,Nederland
682860981337387008,Brexit
682861053533896704,Brexit
682861974485622784,Brexit
682862082702721024,Brexit
682862237216837632,Brexit
682862492767367168,Brexit
682878216244203520,spiegel
682863347784638464,JA
682863347784638464,MUFC
682863347784638464,Brexit
682879204938010624,Telmi
682879204938010624,Nachrichten
682879204938010624,news
682864514581295104,Brexit
682864718650970112,leave
682864718650970112,VoteLeave
682864718650970112,Brexit
682865545973215232,Brexit
682865588620922880,Brexit
682881468901777408,Cameron
682881468901777408,Conservative
682881468901777408,Sterling
682881468901777408,Britain
682866792990142464,Brexit
682882370970730496,Nieuws
682882370970730496,Nederland
682867483880067072,UK
682867483880067072,Brexit
682867483880067072,EU
682869472387022848,Brexit
682869867679211520,EU
682869867679211520,Brexit
682871211576156160,Brexit
682871865564610560,FTEU
682871865564610560,Brexit
682871865564610560,UKIP
682871983353257984,Buhari
682871983353257984,NNAMDIKANU
682872027699621888,Brexit
682872198101635072,EUReferendum
682872198101635072,Brexit
682872507532230656,EU
682872507532230656,brexit
682873055442501632,Brexit
682889331816660992,FBPE
682874375700373504,Brexit
682874575726768128,Brexit
682874575726768128,EUreferendum
682875283645579264,Brexit
682875283645579264,EUref
682890536794099712,GMC
682875498351964160,Brexit
682876767321866240,Brexit
682876767321866240,LeaveEU
682876767321866240,Sayno2EU
682876767321866240,VoteLeave
682893364665008128,wirtschaft
682879519280218112,Brexit
682879548355153920,ukip
682879548355153920,pegida
682879548355153920,tcot
682879548355153920,pjnet
682879548355153920,Brexit
682879548355153920,auspol
682879596325371904,Brexit
682880118751125504,Brexit
682880542644301824,Brexit
682896067386576896,StrongerIn
682881078365937664,Brexit
682881498878488576,Brexit
682882827361337344,Brexit
682882827361337344,EU
682883704180609024,TimeForThePeople
682883704180609024,Brexit
682884667192795136,Brexit
682884667192795136,No2EU
682884667192795136,VoteLeave
682900090738978816,economie
682900090738978816,nieuwstwitter
682900090697035776,economie
682900090697035776,nieuwstwitter
682900090382467072,economie
682900090382467072,nieuwstwitter
682900093473689600,economie
682900093473689600,nieuwstwitter
682900093045833728,economie
682900093045833728,nieuwstwitter
682900093008138240,economie
