ID,mention
682716086681382912,RyanWatersUKIP
682716257402109952,Mativenko80
682717394154991616,RyanWatersUKIP
682718899519893504,UKIP
682718899519893504,Nigel_Farage
682721932207353856,News_Executive
682721932207353856,afneil
682726653710200832,LeaveEUOfficial
682727555863044096,LiberalIsland
682727555863044096,janeyk72
682727555863044096,MockLabour
682728113902612480,janeyk72
682728113902612480,LiberalIsland
682728113902612480,MockLabour
682744570485051392,BreitbartNews
682744570485051392,TheMuslimIssue
682760397875732480,ChrisPowerRed
682769733817614336,HaitiNewsNet
682827713502146560,AOLdotUK
682830289182310400,nuzzel
682830289182310400,DirectMarseille
682825551019642880,4real042
682825551019642880,DonMaseratte042
682847443478802432,Charles20ah24s
682847443478802432,ThomasEvansUKIP
682849014308540416,whiskycomandant
682852248322502656,markets
682852680365174784,AnthonyGlees
682837980575346688,bloefeld437
682838731531878400,BBCWorld
682841476624179200,busybuk
682844464382119936,AndyCavster
682844464382119936,RedHotSquirrel
682846407611514880,David_Cameron
682847814007783424,AndyCavster
682847814007783424,RedHotSquirrel
682849270496649216,MailOnline
682850849928966144,lasancmt
682866494494097408,FT
682852000015478784,Wake_up_Europe
682867367764979712,glasterlaw1
682868026153283584,johnwedgey
682852950373445632,AndyCavster
682852950373445632,WantEnglandBack
682853061916790784,Akabilky
682869699181412352,SchetynadlaPO
682854609908568064,debatingeurope
682854609908568064,EUWatchers
682854680079298560,AndyCavster
682854680079298560,RedHotSquirrel
682856140737277952,AndyCavster
682856140737277952,WantEnglandBack
682856711414247424,Akabilky
682857572769132544,stardust193
682858355224915968,AndyCavster
682858355224915968,WantEnglandBack
682860981337387008,lasancmt
682876199337615360,dvrmakgl
682861974485622784,lasancmt
682862237216837632,lasancmt
682862492767367168,lasancmt
682878082945007616,vilimsky
682863347784638464,English_Woman
682863347784638464,MargotLJParker
682878820542758912,LBC
682864514581295104,AndyCavster
682864514581295104,WantEnglandBack
682865545973215232,LBC
682867483880067072,TonyDuheaume
682867483880067072,SHKMEP
682884295841722368,SPIEGELONLINE
682869472387022848,SHKMEP
682869867679211520,richardcalhoun
682871211576156160,MikeARPowell
682871865564610560,Number10gov
682871983353257984,FreefromTorture
682872027699621888,MikeARPowell
682872198101635072,richardcalhoun
682873055442501632,richardcalhoun
682888204362629120,arminfischer
682889331816660992,PoliticsHome
682889407028920320,simplysimontfa
682889407028920320,MargotLJParker
682874375700373504,LBC
682890374969487360,Nigel_Farage
682890555211296768,UK_IndyNow
682890555211296768,lostleonardo
682875498351964160,richardcalhoun
682875498351964160,Andym6769
682891645658906624,lefty_loons
682891645658906624,uk_disgrace
682891645658906624,TRobinsonNewEra
682876767321866240,LBC
682891950660435968,IBTauris
682878782034829312,Fattcheeked
682879519280218112,LBC
682895155192557568,gme7
682880118751125504,LSEpoliticsblog
682880542644301824,Bacolod
682880542644301824,LBC
682881078365937664,Andym6769
682881078365937664,belindawood99
682881078365937664,richardcalhoun
682881498878488576,mcvalfra
682881498878488576,belindawood99
682881498878488576,richardcalhoun
682881498878488576,Andym6769
682896607474499584,SPIEGELONLINE
682882827361337344,LBC
682899602291486720,SPIEGELONLINE
682900545284239360,TRobinsonNewEra
682902316702371840,LouiseMensch
682902316702371840,UKLabour
682903214665121792,business
682903214665121792,LibDemsinBiz
682889215588306944,simplysimontfa
682889215588306944,UkipRugby
682904377431048192,MR_JustinTaylor
682904377431048192,WildTimothy
682907381592911872,nzherald
682907798435409920,Number10gov
682893079150485504,kel_emvor
682908820771880960,tagesschau
682909217175552000,David_Cameron
682910090958139392,RafikSmati
682895502816505856,britainelects
682895502816505856,RoundLike
682911754192551936,SPIEGELONLINE
682897984498089984,mummygirl
682898267995287552,LouiseMensch
