u_id,u_sentiment,u_stance
259896187,negative,other
6312362,mixed,other
102635510,mixed,other
508734872,mixed,other
130342625,mixed,other
4185556702,mixed,leave
1723377714,mixed,other
4288338616,negative,other
1550984940,mixed,other
777687276,mixed,other
251497683,mixed,other
2198481037,negative,other
397526411,negative,other
69286547,mixed,other
2460515510,mixed,other
486386296,mixed,other
136502927,mixed,other
1372545170,neutral,leave
77776648,mixed,other
3293819495,mixed,leave
368215075,mixed,other
4144951289,positive,other
3111482895,mixed,other
34935688,mixed,remain
2436958382,mixed,remain
2850022474,mixed,remain
3380016922,mixed,remain
3399272567,mixed,remain
2938170125,mixed,remain
4098465154,mixed,remain
4582513450,mixed,remain
4019610917,mixed,remain
2393261186,mixed,other
3329323871,neutral,remain
3088255293,mixed,remain
24744541,mixed,remain
3308095682,mixed,remain
1861413494,mixed,other
2613432702,mixed,remain
212884671,mixed,remain
107200607,mixed,remain
102983533,mixed,remain
2751796116,mixed,remain
24481831,mixed,remain
955956284,mixed,remain
3908234775,mixed,remain
98679589,mixed,other
540043470,mixed,remain
1538372454,mixed,remain
2162896657,mixed,remain
1237320691,mixed,remain
2814425150,mixed,remain
978164348,neutral,remain
166682415,mixed,remain
1877161100,mixed,other
2976746529,mixed,remain
83364690,mixed,remain
1490914789,mixed,remain
1435760725,mixed,other
296139946,mixed,remain
1718837262,mixed,remain
38632923,neutral,remain
2172571639,mixed,remain
724570608,mixed,remain
1596687186,mixed,remain
1875939270,mixed,other
3191844098,mixed,remain
1558604186,mixed,other
2527420590,mixed,remain
4395923367,mixed,remain
428153533,mixed,remain
112534461,mixed,remain
571499665,mixed,other
2170989733,mixed,other
3069760247,mixed,remain
3394811787,mixed,remain
17836555,mixed,other
306104938,mixed,other
216687772,mixed,remain
4576642936,mixed,other
1080559760,mixed,remain
3096759563,mixed,remain
3854582813,positive,remain
2962824201,mixed,other
750816918,negative,other
2805219063,mixed,other
15864377,mixed,remain
129982796,mixed,other
126599658,mixed,other
2822530175,mixed,other
86241025,mixed,other
446645532,mixed,other
555370896,mixed,other
271297553,negative,other
135263108,mixed,other
843864625,mixed,other
1574971939,mixed,other
138579043,mixed,other
2220945398,mixed,other
34637101,mixed,other
2838333676,negative,other
100940918,mixed,other
938788579,mixed,other
3041375236,mixed,other
167419922,mixed,other
2663116351,negative,other
2751594014,mixed,other
31075190,mixed,leave
132541849,mixed,other
4448893401,mixed,other
274405751,mixed,other
102691451,mixed,other
297286429,mixed,other
30317781,mixed,other
563108976,mixed,other
2737029641,neutral,other
1665457951,mixed,other
2723660593,mixed,other
3145601770,mixed,other
66173189,mixed,other
