ID,user_id,user_tag,t_sentiment,t_stance,text
682715594110689280,259896187,,positive,remain,
682715872205651968,6312362,,neutral,other,
682716086681382912,259896187,Mativenko80,negative,remain,"Evans su Twitter: ""@RyanWatersUKIP So, let's have the fully costed Brexit plan then. Also, what happens to workers rights? You're clueless. Do fuck off."""
682716257402109952,6312362,DrRyanWaters,positive,other,"Dr Ryan Waters❌ su Twitter: ""@Mativenko80 odd to ask for one before brexit. Workers had rights before the EU, and will have them after. Happy new year."""
682716531470544896,259896187,,neutral,other,
682716820630028288,6312362,,neutral,other,
682717394154991616,259896187,Mativenko80,negative,other,"Evans su Twitter: ""@RyanWatersUKIP Nah. Jobs will be lost with Brexit. And workers rights will not be secured. Only an idiot would vote for Brexit. Simple."""
682717475579019264,102635510,,positive,other,
682717557791539200,6312362,,neutral,leave,
682717748577832960,508734872,,positive,other,
682718138727809024,130342625,hartfordwolf,positive,other,"Brexitwolf su Twitter: ""Happy New Year Blighty! Hopefully this will be the last year of Britain's EU membership!! #leaveEU #Brexit"""
682718800568016896,259896187,,negative,other,
682718899519893504,4185556702,Iowa_Corn_Dog,neutral,leave,"IowaCornDog su Twitter: ""Make 2016 a year to remember - #LeaveEU: https://t.co/qk1oeLVezQ 
#EUref #EUreferendum #Brexit @UKIP @Nigel_Farage🇬🇧 https://t.co/crfQZVawD6"""
682720118401581056,1723377714,alwaysawkward02,neutral,other,"always.awkward su Twitter: """"More united"".
*shakes her head*
Not in this life darling.
#Brexit https://t.co/qbd8QNQta0"""
682721275182071808,4288338616,RatesNews,negative,other,"#blackfriday Amazon su Twitter: ""Migrants, Terrorist Attacks and Brexit: The Death of The https://t.co/ZpPLdPk7kW #MacysParade #Breaking #indiedev #BlackFriday #Amazon #ad"""
682721932207353856,1550984940,DrewEdgar_CB,negative,other,"Drew Edgar su Twitter: ""@News_Executive @afneil New threat to UK border as France builds first official refugee camp for 13 years https://t.co/B3esLia37j #Brexit"""
682724440153587712,777687276,,positive,other,
682726653710200832,251497683,Grado779,positive,leave,"James Marsh ❌ su Twitter: ""@LeaveEUOfficial Happy Happy 2016 one year nearer to Brexit https://t.co/rj0K2glQCo"""
682727555863044096,259896187,Mativenko80,positive,remain,"Evans su Twitter: ""@LiberalIsland @janeyk72 @MockLabour Winning a debate w/a Kipper. Just ask if they have a Fully-Costed Brexit plan...Get silence."""
682728082353090560,2198481037,,positive,remain,
682728113902612480,259896187,Mativenko80,neutral,remain,"Evans su Twitter: ""@janeyk72 @LiberalIsland @MockLabour Yup! Also, ask them what happens to workers rights in the event of a Brexit. More silence."""
682733883180347392,397526411,,negative,other,
682735615448903680,69286547,Baz_Mattaz,neutral,other,"Baz Mattaz su Twitter: ""EU rules banning river dredging caused GB flooding, not climate change https://t.co/EZHN7FDh5U #brexit"""
682722402560774144,2460515510,ABitOfBlossom,negative,other,"#LeaveEU31stJan💃🥂🍾😘 su Twitter: ""Can you promise to take us OUT of the corrupt #EU please? #VoteLeaveEU #Brexit #gamechanger  https://t.co/ZS1bEDqeBn"""
682740427594727424,486386296,AllTheNewsIndia,neutral,leave,"All The News su Twitter: ""Grexit to Brexit - The Statesman https://t.co/OFkE6ZTYGN https://t.co/nduqqeWaRx"""
682740466832441344,136502927,___RamRam___,neutral,remain,"Ramsey Sandy su Twitter: ""https://t.co/IjG2QVWtmc"""
682740465272274944,1372545170,,neutral,leave,
682744570485051392,77776648,ExposingBBC,negative,other,"Boris for No Deal Brexit....don’t let us down! su Twitter: ""Police Intercept Migrant Train in Tuberculosis Scare https://t.co/KT4xMq6zJ9 via @BreitbartNews #LeaveEU .@TheMuslimIssue #Brexit"""
682746500934287360,777687276,,positive,leave,
682749235968610304,777687276,,neutral,leave,
682740341850521600,3293819495,account,neutral,other,
682740340927762432,3293819495,account,negative,remain,
682740340130852864,3293819495,account,positive,remain,
682740338763538432,3293819495,account,neutral,leave,
682740342739701760,3293819495,account,positive,other,
682760122582609920,368215075,parishatzi,neutral,remain,"Paris Hatzievagelou su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/Sqjj5CUFbo"""
682760397875732480,4144951289,yorkshirebec,positive,remain,"Rebecca 🇬🇧 su Twitter: ""@ChrisPowerRed I'm soooo sorry! I thought you were someone else! Happy New Year. P.s Get the Brexit party started! Love Becky :)"""
682762435330195456,3111482895,shadwellstreet,neutral,leave,"Tobias su Twitter: ""The result of liberal lunacy: The great continent of Europe irrevocably damaged. Enough. #nomoremigrants #Brexit  https://t.co/wgoy0acaxU"""
682763722872365056,34935688,razki030775,neutral,remain,"razki030775 su Twitter: ""Actu. Europe - Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/J4AdBsx8eq"""
682763726320091136,2436958382,tuitFrance,neutral,remain,"Journal France su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/26sUnSzNGK #LeMonde #europe"""
682763730497634304,2850022474,testisandra,neutral,remain,"Sandra Testi su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/HxjdaDZa0b"""
682763739439841280,3380016922,,neutral,remain,
682763752719036416,3399272567,,neutral,remain,
682763751175536640,2938170125,account,neutral,remain,
682763760805662720,4098465154,,neutral,remain,
682763766279213056,4582513450,,neutral,remain,
682763982269054976,777687276,,positive,other,
682764076179668992,4019610917,account,neutral,remain,
682765457653301248,2393261186,,neutral,remain,
682765457120604160,3329323871,,neutral,remain,
682765454436249600,3088255293,,neutral,remain,
682765520081436672,24744541,lemondefr,neutral,remain,"Le Monde su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/G3E8zCrWEE https://t.co/E4mKLtvYui"""
682766836052570112,3308095682,NewsMassai,neutral,remain,"Massaï su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/gPWZh1Jgnf https://t.co/cGKoYA6gHw"""
682767059823030272,1861413494,PaulinaAstrozaS,neutral,remain,"Paulina Astroza su Twitter: ""Ufff... el #Brexit en el centro de los deseos de Cameron para el 2016  https://t.co/qLPlQfNjRm"""
682767074435969024,2613432702,actufranceif,neutral,remain,"Actu France su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 - https://t.co/KMaUhYsmUj"""
682767261828911104,212884671,NewsEnContinu,neutral,remain,"Dernières nouvelles su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/0VGviHUrdr"""
682768588923637760,107200607,,neutral,remain,
682769235588694016,102983533,H_Correspondant,neutral,remain,"Honorable Correspondant su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/LRfaOG4cN4"""
682769629803057152,2751796116,FXS_Finance_FR,neutral,remain,"Dukascopy News (FR) su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 #Finances #Matières premières https://t.co/8GNazxxjyu"""
682769733817614336,24481831,HaitiNewsNet,neutral,remain,"HNN -Haiti News Network - @HaitiNewsNet su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/fKfX52jCFA"""
682769811458420736,955956284,rachitisme,neutral,remain,"Le rachitisme su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/hXP9Whm4QI"""
682769981424164864,3908234775,,neutral,remain,
682770620740800512,98679589,rassegnastampa,neutral,remain,"Rassegna Stampa su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/t40XSuYd10"""
682771074749104128,540043470,,neutral,remain,
682771086077870080,1538372454,french_Papers,neutral,remain,"journaux français su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/sxxCyA84pD #lemonde"""
682771092948189184,2162896657,Newsekt,neutral,remain,"Newsekt su Twitter: ""[Le Monde] Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/2jDg6FXsmr #Newsekt"""
682771106218917888,1237320691,YDouib,neutral,remain,"Yassine Douib su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/7qu3kObJpJ"""
682771114137800704,2436958382,tuitFrance,neutral,remain,"Journal France su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/qk6SKlTWGw #nouvelles #LeMonde"""
682771112644620288,2814425150,LaPresseFR,neutral,remain,"La presse Française® su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/VQKcqS7sgz"""
682771119976267776,978164348,,neutral,remain,
682771131208568832,166682415,DirectMarseille,neutral,remain,"DirectMarseille su Twitter: ""#ALaUne Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/BJ4LbxzQja"""
682771134748602368,1877161100,SamJazzBlues,neutral,remain,"não dê ouvidos aos néscios su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/GOgf5ITGXj"""
682771133284798464,2976746529,account,neutral,remain,
682771901186359296,83364690,zdig1,neutral,remain,"zdig1 su Twitter: ""#news Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/dC2CltC5ls"""
682772006052478976,1490914789,CyberActualite,neutral,remain,"Cyber-Actu su Twitter: ""https://t.co/yiXxzRI0yE LeMonde.fr: Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/diAHIicXrX"""
682772432286035968,1435760725,willbeluckysoon,neutral,other,"LUMPY AS ALWAYS su Twitter: ""The European Union is based on the Nazi plans published in Berlin in 1942: https://t.co/o5JaVoq6Uf - via:vaseljenskatv #no2eu #brexit #ukip"""
682773653054963712,296139946,quaiarthur,neutral,remain,"arthur quai su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/sFpSw0slwc"""
682773709069893632,1718837262,escortsfrancefr,neutral,remain,"Escorts France su Twitter: ""https://t.co/J8EhWxX8kP Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/sTFngwI1dW"""
682774301158674432,38632923,tsirangama,neutral,remain,"Thierry SIRANGAMA su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/j39OvPgsQo #News"""
682774720031227904,777687276,,neutral,remain,
682775825893068800,2172571639,Figura_Propia,neutral,remain,"ƒเgยภa Pภ๏pเค™ su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:"""
682775825431711744,724570608,Esthe_Ross,neutral,remain,"►Esthefany◄ su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:"""
682775824957747200,1596687186,,neutral,remain,
682775822625681408,1875939270,,neutral,remain,
682775838236880896,3191844098,,neutral,remain,
682775837972631552,1558604186,,neutral,remain,
682775852715642880,2527420590,,neutral,remain,
682775852610752512,4395923367,PlaneteTVRepost,neutral,remain,"Planète TV Repost 🔁 su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/MGzQSdSo9A"""
682776607883304960,428153533,,neutral,remain,
682777323192586240,112534461,account,neutral,remain,
682777449126428672,571499665,athensgreecenew,neutral,leave,"Athens Greece NEW su Twitter: ""Grexit to Brexit - https://t.co/mbRq6j75sq #GoogleAlerts"""
682785969263652864,2170989733,JournalistMissy,negative,other,"Ashley Clark su Twitter: ""Cameron causes southern discomfort: Leaders worry over welfare, but Brexit fears fail to dim UK's attraction f... https://t.co/M0t1ek1QBk"""
682789157286973440,3069760247,,neutral,remain,
682775059253993472,3293819495,,positive,other,
682775060285788160,3293819495,,neutral,other,
682797723507101696,3394811787,,neutral,remain,
682801391027548160,17836555,,positive,other,
682792233662193664,3293819495,account,positive,remain,
682798254715613184,3293819495,account,neutral,other,
682798256707862528,3293819495,account,negative,other,
682798479870160896,306104938,SpanishPablo,positive,other,"Spanish Pablo su Twitter: ""England would celebrate a #Brexit 
France, which denied #Brexin twice, won't shed a tear either.. 
https://t.co/4PcJXm5LBK
#2016Watch"""
682813846407389184,777687276,,neutral,other,
682813969023631360,777687276,,neutral,other,
682814370624061440,777687276,,neutral,other,
682814793741275136,777687276,,positive,other,
682819241569943552,216687772,parisaction,neutral,remain,"Vive La France su Twitter: ""#Europe  #LeMonde Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/j8ZbN0edFM"""
682820374329999360,4576642936,XIIW37,positive,remain,"وفاء su Twitter: ""انا مو مصبرني الا فكرة ان كل العظماء بدايتهم كانت فاشلة .."""
682820777939472384,1080559760,tito1265aa,neutral,remain,"tito's su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016
https://t.co/RVE4xKiU7z
Le Monde"""
682825052677619712,3096759563,korkey_9x13,neutral,other,"korkey_9x13 su Twitter: ""Brexit, TTIP, GeenPeil en vluchtelingen: de banenenschillen voor de EU in 2016 https://t.co/cDNMASDBNx https://t.co/xg9VMP0uT0"""
682810145240256512,3293819495,,positive,leave,
682810146192375808,3293819495,account,neutral,other,
682810147001905152,3293819495,account,positive,remain,
682810382638002176,3854582813,,positive,remain,
682826292140453888,2962824201,dlEstonia,neutral,other,"Estonia News Links su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit: But taxpayers' cash ... https://t.co/vV6grXicDD"""
682827713502146560,750816918,AnthonySlater8,neutral,other,"ANTI -TORY su Twitter: ""Leaving EU 'would create melting pot of uncertainty' https://t.co/lvkw9zyPRs via @AOLdotUK# They still spew out the lies. BREXIT only way."""
682829248441249792,2805219063,,positive,leave,
682830289182310400,15864377,awbc,positive,remain,"awbc su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/w5tpyHymcu via @nuzzel thanks @DirectMarseille"""
682833649369231360,129982796,account,positive,leave,
682819684903813120,126599658,sergeimirkat,negative,remain,"sergei su Twitter: ""Mass migration in Europe will accelerate the process of Islamification and destroy social cohesion #Brexit https://t.co/hzUQpa57e8"""
682835250653872128,2822530175,fvdemocratie,neutral,other,"ForumvoorDemocratie su Twitter: ""Brexit, TTIP, GeenPeil en vluchtelingen: de banenenschillen voor de EU in 2016 https://t.co/vBn69xmQqn"""
682836319421108224,86241025,TunkaTunks,neutral,remain,"tunks su Twitter: ""Man I haven't been asleep since last year I'm tired guys"""
682837348523098112,446645532,sihlfox,neutral,remain,"Sihlfox su Twitter: ""From lumbersexual to Brexit: how many times did the Guardian print the words of the year?

https://t.co/rNSE9nrbel"""
682837711280013312,555370896,,neutral,other,
682839001930190848,777687276,,positive,leave,
682839519859728384,271297553,dunstablian,neutral,other,"John su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/nF8PcQYZKz £500.000.000.000 so far...."""
682839605796823040,271297553,dunstablian,negative,other,"John su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/nF8PcQYZKz Cameron is a MORON"""
682839702429405184,135263108,account,neutral,other,
682825551019642880,843864625,goldmynenaija,positive,other,"Goldmyne Entertainment su Twitter: ""Hottest jam in town #Power_By_4RealEze     cc @4real042  @DonMaseratte042 on Notjustok . https://t.co/m9HTfR1flJ … … … …"""""""
682840770676523008,777687276,,neutral,leave,
682843678243590144,777687276,account,negative,leave,
682829719570526208,3293819495,KevinClark771,positive,remain,"Kevin su Twitter: ""Well fuck"""
682844861859508224,2751796116,FXS_Finance_FR,neutral,remain,"Dukascopy News (FR) su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 #Finances #Matières premières https://t.co/x9lDxcChsB"""
682845012296507392,2962824201,dlEstonia,neutral,other,"Estonia News Links su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit: But taxpayers' cash ... https://t.co/EtOHiAx9L4"""
682845906010390528,1574971939,Econ_Markets,negative,other,"Gary su Twitter: ""Early Headlines: Oil Looks Down For 2016, El Nino Yet To Peak, Brexit Weakens EU, Munich IS Threat, Russia Say... https://t.co/ErjHbOsuLG"""
682847443478802432,17836555,mummygirl,neutral,other,"Mummygirl/ Bev Stein su Twitter: ""@Charles20ah24s @ThomasEvansUKIP Nothing to lose by telling people that. So why won't he? Brexit?"""
682832372363063296,138579043,account,neutral,leave,
682848893005070336,2220945398,,negative,other,
682849014308540416,34637101,MichaelAbberton,neutral,leave,"Michael Abberton 🌹🌍☯️☸️📿 su Twitter: ""@whiskycomandant Haven't gone off topic, but never mind. 
If UKIP didn't exist, I'd vote for brexit."""
682835710970232832,3293819495,account,neutral,other,
682835711867801600,3293819495,,neutral,other,
682852163144540160,2838333676,boblister_poole,negative,other,"Bob For A Full Brexit su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit. Cameron is a fraud! https://t.co/cJe6DGWMxu"""
682852248322502656,100940918,richryan55,neutral,other,"Richard Ryan su Twitter: ""#Money #Business Pound Volatility Surges as Biggest Trader Sees `Brexit' Discount https://t.co/9tS1z3thCP via @markets"""
682852680365174784,938788579,Martinunterlaa,positive,other,"Martin B su Twitter: ""@AnthonyGlees  1/2 
I fully agree! On a selfish note: As frequent visitor of your beautiful country I hope for continuous Brexit discussions"""
682837980575346688,3041375236,ReebarrRees,negative,other,"On Reflection su Twitter: ""@bloefeld437 Exactly...he must think we can't figure out the problem - Cameron's  humongous white pet elephant in the corner - #Brexit"""
682838731531878400,167419922,matisaksk,negative,other,"Andrej Matisak su Twitter: ""#Europe set for a fundamental clash of ideas https://t.co/56v0DsCb3s via @BBCWorld  #politics #refugeecrisis #Brexit #EU"""
682839113066754048,2663116351,dinky1950sf,negative,leave,"Steve Foster su Twitter: ""#sky If SIR Brendan Barber wants to stay in the EU? I'm definitely Voting OUT. #Brexit #leave"""
682839546803793920,2751594014,,neutral,other,
682840626652659712,31075190,JoannieCo,positive,other,"Joan Collins #CorbynWasRight🌹 su Twitter: ""Lets hope #Hello2016 will mean #GoodbyeEU! #Brexit #no2EU"""
682855919236022272,132541849,jamaislu,neutral,remain,"Jacques Morissette su Twitter: ""International: Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/Nvw7o2lEC4, see more https://t.co/bnfrzIUEet"""
682841476624179200,4448893401,susanandjohnte1,positive,other,"somebody else su Twitter: ""@busybuk It's a long road ahead, we have the confidence so we must inspire others towards #Brexit."""
682842536004726784,274405751,US_of_Europe,neutral,other,"Ken Jack su Twitter: ""What if #EUref says ""out"" but Brussels says ""no"" to #Brexit ? Read ""United States of Europe""  https://t.co/HZeq796o8Y #eu #euref"""
682842927291363328,102691451,mr_stephen_moss,negative,other,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""If electorate is smart enough to #LeaveEU & vote #brexit, will they follow up by dumping this dreadful Tory govt? https://t.co/IuFIj1xash"""
682843202068606976,297286429,lasancmt,positive,other,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""May 2016 be the year these #brexit fanatics' worst nightmare becomes true and Great Britain chooses to lead rather than leave EU"""
682858403560042496,30317781,missloren60,neutral,other,"harley lewis su Twitter: ""Brexit would be 'biggest political earthquake' for Europe since fall of Berlin Wall https://t.co/wAifB5pBKt"""
682858911788089344,563108976,GreggatQuest,neutral,other,"Gregg. su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/iOnFuPiyhk"""
682858982143320064,2737029641,,neutral,other,
682858979492524032,2737029641,,neutral,other,
682844464382119936,102691451,mr_stephen_moss,negative,leave,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""@AndyCavster @RedHotSquirrel No Andy, on the porridge & toast!! Big market but deal's rotten! #brexit"""
682859714426847232,1665457951,DutchNewspapers,neutral,other,"DutchNewspapers su Twitter: ""Brexit, TTIP en vluchtelingen: banenenschillen voor de EU in 2016 https://t.co/pzl7da0piJ #Nieuws #Nederland"""
682860720229380096,2723660593,,negative,other,
682860761329319936,3145601770,account,negative,remain,
682846166602649600,66173189,flexdream,negative,other,"Felix su Twitter: ""EU boasts of foreign trade deals.  EFTA in Single Market. EU in WTO. But EUfans say EU would hinder trade with biggest market UK? #brexit"""
682846407611514880,3041375236,ReebarrRees,negative,remain,"On Reflection su Twitter: ""@David_Cameron Wish I could return your fake wish but you're a political disgrace to UK...so utterly embarrassed/ashamed of you. #Brexit"""
682861712282906624,236339055,cocoa1958,neutral,other,"paul colin kilbride su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/Oh8hYWiJgo"""
682862297921024000,325168795,,neutral,leave,
682847814007783424,102691451,mr_stephen_moss,positive,other,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""@AndyCavster @RedHotSquirrel Trade deals/tough negotiations ahead but #brexit better for UK unless Cameron renegotiates a miracle! No chance"""
682848027099398144,54153498,,negative,leave,
682849270496649216,2370630903,teabetty53,positive,other,"Susan Hammler su Twitter: ""Brussels to Britain - Happy New Year, writes RICHARD LITTLEJOHN https://t.co/d0mqGH6Djk @MailOnline : #Brexit in doubt? read this!"""
682864748178849792,145637907,,positive,other,
682865254146027520,3238875658,NaionsNewspaper,neutral,remain,"جريدة الأمم su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/fWsRPdxYcd"""
682865623517380608,2962824201,dlEstonia,neutral,other,"Estonia News Links su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit: But taxpayers' cash ... https://t.co/jQW0JyWe5X"""
682865826953883648,2282325169,LucaTentoni1,neutral,remain,"Luca Tentoni su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/YTvQFd3SoB"""
682865881286881280,180834935,,neutral,other,
682850849928966144,328577933,Akabilky,positive,other,"So called Alan su Twitter: ""@lasancmt
Happy New Year.

UK lead in EU?

Know the history of UK wanting EU to be intergovernmental not supranational?

#Brexit"""
682850948742516736,2762592056,Stop_The_EU,negative,leave,"Stop the EU 🇬🇧 su Twitter: ""Time to LEAVE the EU
#brexit #VoteLeave #EUref #StopTheEU
Facebook https://t.co/6eZWJrJQFK 
https://t.co/qYZaVtW6kc https://t.co/QABcJFR3Rd"""
682866494494097408,15491330,rahulanand,positive,other,"Rahul su Twitter: ""Via @FT : Clinton as President , No Brexit, Crude above $50 , Rmb devalued and yeah India might need IMF's help ! https://t.co/xouJHj8oMP"""
682851486976610304,297286429,lasancmt,neutral,leave,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""Congratulations France shame on Britain

#brexit https://t.co/AxeqgYPKDK"""
682852000015478784,328577933,Akabilky,neutral,remain,"So called Alan su Twitter: ""@Wake_up_Europe
Anything to do with EU is described as 'populist' when it is what the people want.
#Brexit"""
682852037038583808,24862210,,positive,leave,
682867367764979712,2170986966,sandieshoes,negative,other,"sandieshoes su Twitter: ""@glasterlaw1 my concern is that he will put the undecided off #Brexit."""
682868026153283584,139142932,Maurice97ILF,negative,other,"M A S su Twitter: ""@johnwedgey Surely after Brexit no politician who as campaigned for the EU and not for Britain can remain in office."""
682852950373445632,328577933,Akabilky,positive,other,"So called Alan su Twitter: ""@AndyCavster @WantEnglandBack 
Morning Andy, Happy New Year!

May the new year bring #Brexit joy to us all!"""
682852985492377600,2875647729,,neutral,other,
682853061916790784,297286429,lasancmt,positive,other,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""@Akabilky UK has always been a leader in EU until spineless Camoron started pandering to likes of garage who is a broken #brexit record joke"""
682853817537458176,123962559,,negative,remain,
682854241434742784,328577933,,negative,remain,
682869699181412352,546758838,BartiRutkowski,neutral,remain,"Bartek Rutkowski su Twitter: ""4 palące kwestie w tym roku: 1)Czy będą wcześniejsze wybory samorządowe 2)Zmiany @SchetynadlaPO na DŚ 3)Brexit 4) Wybory do Parlamentu na BY"""
682854609908568064,3041375236,ReebarrRees,negative,other,"On Reflection su Twitter: ""@debatingeurope @EUWatchers #EU destabilised Europe & now dysfunctional corrupt overcrowded unsafe Undemocratic a hellish Fed Union #Brexit"""
682854680079298560,102691451,mr_stephen_moss,neutral,other,"STEVE MOSS Ⓥ 🌹 ♑🌍☘️ #RockMusic #ClimateEmergency su Twitter: ""@AndyCavster @RedHotSquirrel As in 75, I fear scaremongering might prompt electorate to stay but I'll push hard for #brexit. Happy New Year"""
682855135274496000,297286429,PensriV,positive,other,"pensri vaeingnon su Twitter: ""https://t.co/2zqyQKhB9J"""
682870323969146880,14685924,michaelwhite,positive,leave,"MichaelWhite su Twitter: ""It was one MW point, yes. Hague exploited/inflamed Brexit mood, took Tories out of EPP (foolish) etc. Genie Bottle? https://t.co/cd2WfNtHGE"""
682855338576445440,3293819495,account,neutral,other,
682855875044896768,54153498,,neutral,leave,
682871201400795136,229446071,ncr16,positive,other,"Neil Rogers su Twitter: ""Trade Unions support EU membership even though it's been responsible for wage suppression of UK workers! Brexit"""
682856140737277952,328577933,Akabilky,neutral,other,"So called Alan su Twitter: ""@AndyCavster @WantEnglandBack
Even if we vote for #Brexit politicians and EU will force as much status quo on UK as possible."""
682856210681475072,577670568,gasolinebrother,positive,other,"Leon [The Yearlings] su Twitter: ""De weeïge lucht van de keuken na oudejaarsavond."""
682856457105240064,16270167,BevEmans,positive,leave,"Crystalrose su Twitter: ""One resolution for this New Year & that is to see my beloved Country #Brexit #LeaveEU regain her Sovereignty & trade as a proud Nation again"""
682856526650961920,289511094,bernerlap,positive,remain,"Ann Sheridan #PeoplesProrogue su Twitter: ""Mrs Dale reckons the referendum will be in July, slap bang in the middle of another migrant crisis #Brexit #winning https://t.co/xSRpgTikhD"""
682856711414247424,297286429,lasancmt,negative,remain,"🕷️ Eurotrash🇪🇺Lasance 🕷️ su Twitter: ""@Akabilky dealing with stupid voters is a politician's job

Smart voters realise this, just not you it seems?

#brexit is economic suicide"""
682857572769132544,240192814,Blackbirds1632,positive,other,"Phil su Twitter: ""@stardust193 Happy New Year. Suns up. Decorations Down. House put straight. Start as we mean to go on #LeaveEU #Brexit"""
682858355224915968,328577933,Akabilky,neutral,leave,"So called Alan su Twitter: ""@AndyCavster @WantEnglandBack
The 'British Question' will never settled whilst we are in the EU.
#Brexit"""
682874253453164544,249880957,kevinfitts,neutral,leave,"Kevin su Twitter: ""#FutureWorldNews World Policy On Air, Ep. 48: Reforming the EU or ""Brexit"" https://t.co/S5SoqQv1Xe Follow KevinFitts"""
682874808305070080,1665457951,DutchNewspapers,neutral,other,"DutchNewspapers su Twitter: ""Brexit, TTIP en vluchtelingen: bananenschillen voor de EU in 2016 https://t.co/1tD8M8ukmp #Nieuws #Nederland"""
682875672717582336,17875880,SPIEGEL_Wirtsch,neutral,remain,"SPIEGEL Wirtschaft su Twitter: ""EU-Schicksalswahl: 2016 - das Jahr des drohenden Brexit... https://t.co/NySBF1lhjT"""
682875672713400320,17807719,SPIEGEL_alles,neutral,remain,"SPIEGEL Ticker su Twitter: ""EU-Schicksalswahl: 2016 - das Jahr des drohenden Brexit... https://t.co/4L6wfFB6Rf"""
682860981337387008,328577933,Akabilky,positive,other,"So called Alan su Twitter: ""@lasancmt

Lying on a historic scale is just 'dealing with voters'.

And you support the EU.

Makes sense.

#Brexit"""
682861053533896704,87498576,SimonatSaltus,positive,leave,"Simon Armstrong su Twitter: ""If UK votes #Brexit, negotiations over Britain’s exit should be handled by Cameron with his great experience of Europe. - Lord Baker."""
682876199337615360,630321437,slaakgol,positive,leave,"Sıla su Twitter: ""@dvrmakgl  geldin bide bana burda şekil şukul yapıyon 😂😂"""
682876674871017472,141383006,Hillchaser,neutral,other,"Bas su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit https://t.co/Ct7PLWUtDT"""
682861974485622784,328577933,Akabilky,negative,remain,"So called Alan su Twitter: ""@lasancmt The one where the Dutch rejected an EU constitution.

Was that only 'not smart' people?

Or the French who did the same?

#Brexit"""
